id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Mirage,Arid Sun,world,reflective,0.55,100,0.52,0.61,0.48
12,Neon Samurai,Tokyo Pulse,electronic,energetic,0.88,128,0.67,0.85,0.12
13,Blue Hour,Willow Lane,folk,calm,0.33,95,0.74,0.47,0.93
14,Golden Leaves,Autumn Drift,classical,peaceful,0.21,60,0.80,0.32,0.99
15,Wildfire,Crimson Road,country,upbeat,0.70,120,0.78,0.69,0.40
16,Shadow Waltz,Midnight Ensemble,blues,melancholic,0.44,70,0.38,0.53,0.81
17,Pixel Dreams,Bit Parade,chiptune,playful,0.79,140,0.90,0.92,0.08
18,Urban Jungle,Metro Roots,reggae,relaxed,0.58,85,0.73,0.65,0.55
19,Silver Lining,Cloud Harbor,indie rock,hopeful,0.68,110,0.82,0.77,0.29
20,Lost in Transit,Analog Drift,trip hop,moody,0.61,98,0.41,0.59,0.63
